"CPC - ZM6 CE0327";"por hora"
Fecha;"PM10 (μg/m³)";"PM2.5 (μg/m³)"
"2024-07-13 22:00:00";18.235;5.357
"2024-07-13 23:00:00";29.033;8.862
"2024-07-14 00:00:00";19.866;4.901
"2024-07-14 01:00:00";18.255;4.868
"2024-07-14 02:00:00";14.061;3.571
"2024-07-14 03:00:00";14.055;3.475
"2024-07-14 04:00:00";18.788;5.013
"2024-07-14 05:00:00";20.933;5.898
"2024-07-14 06:00:00";23.311;5.351
"2024-07-14 07:00:00";17.39;4.524
"2024-07-14 08:00:00";14.19;4.278
"2024-07-14 09:00:00";12.474;4.067
"2024-07-14 10:00:00";11.598;3.744
"2024-07-14 11:00:00";11.487;3.848
"2024-07-14 12:00:00";11.788;3.887
"2024-07-14 13:00:00";11.225;3.706
"2024-07-14 14:00:00";12.34;3.704
"2024-07-14 15:00:00";11.251;3.527
"2024-07-14 16:00:00";12.662;3.611
"2024-07-14 17:00:00";17.325;4.366
"2024-07-14 18:00:00";21.446;5.587
"2024-07-14 19:00:00";14.877;4.716
"2024-07-14 20:00:00";15.677;4.985
"2024-07-14 21:00:00";14.994;4.74
"2024-07-14 22:00:00";17.761;5.557
"2024-07-14 23:00:00";24.922;8.224
